Plant,Area,Department,Line,Cell,Machine,Station,Workstation,Zone,Team,HierarchyType,EntityCode,EntityAlias,MarsId,Name,TimeZone,TimeZoneId,Address,Coordinates,Type,LanguageFormat,Alias,AssetType,Oem,AreaPaypoint,DepartmentPaypoint,LinePaypoint,ParallelProcess,BottleneckPoint,HomeDepartmentLevel,Region,Acronym,CintooUrl,EpAlertDescription,DtUrls,XOrigin,YOrigin,LatOrigin,LngOrigin,ScalingFactor,PinX,PinY,GspasX,GspasY,AcadX,AcadY,PcbAlias,FisAreaSAKey,FisNodeID,FisServerInstance,Grr,Err,Erc,Jph100,DesignCycleTime,PartsPerCycle,ManAvailTarget,EquipAvailTarget,EquipSimMttr,EquipSimMtbf,ActiveEntity,CdmActiveEntity
AP20A,F1,0,0,0,0,0,0,,,area,F1,Final Assembly,60c8da9ce862ba0f55382e78,F1,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,CKS,0,0,2,0,,,station,8ICKS002,8ICKS002,60f82694ca9d410ce02dd2d4,8ICKS002,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,CKS,0,0,6,0,,,station,8ICKS006,8ICKS006,60f82694ca9d410ce02dd2d2,8ICKS006,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,CKS,0,0,6,N,,,workstation,8ICKS006N,AC Lines Sequencing,60f82694ca9d410ce02dd2d3,8ICKS006N,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,CM,0,0,1,0,,,station,8ICM001,8ICM001,60f82694ca9d410ce02dd24d,8ICM001,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,CM,0,0,1,N,,,workstation,8ICM001N,CM,60f82694ca9d410ce02dd253,8ICM001N,,,,,,,,,,,,,,,,,,,CM01 EP STOP Col S-3,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,CM,0,0,1,S,,,workstation,8ICM001S,CM,60f82694ca9d410ce02dd24e,8ICM001S,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,CM,0,0,2,0,,,station,8ICM002,8ICM002,60f82694ca9d410ce02dd249,8ICM002,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,CM,0,0,2,N,,,workstation,8ICM002N,CM,60f82694ca9d410ce02dd259,8ICM002N,,,,,,,,,,,,,,,,,,,CM02 EP STOP Col S-3,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,CM,0,0,2,S,,,workstation,8ICM002S,CM,60f82694ca9d410ce02dd24a,8ICM002S,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
