Plant,Area,Department,Line,Cell,Machine,Station,Workstation,Zone,Team,HierarchyType,EntityCode,EntityAlias,MarsId,Name,TimeZone,TimeZoneId,Address,Coordinates,Type,LanguageFormat,Alias,AssetType,Oem,AreaPaypoint,DepartmentPaypoint,LinePaypoint,ParallelProcess,BottleneckPoint,HomeDepartmentLevel,Region,Acronym,CintooUrl,EpAlertDescription,DtUrls,XOrigin,YOrigin,LatOrigin,LngOrigin,ScalingFactor,PinX,PinY,GspasX,GspasY,AcadX,AcadY,PcbAlias,FisAreaSAKey,FisNodeID,FisServerInstance,Grr,Err,Erc,Jph100,DesignCycleTime,PartsPerCycle,ManAvailTarget,EquipAvailTarget,EquipSimMttr,EquipSimMtbf,ActiveEntity,CdmActiveEntity
AP20A,0,0,0,0,0,0,0,,,plant,AP20A,OAKVILLE ASSEMBLY COMPLEX,60c8da6be862ba0f553829a6,AP20A,,America/Toronto,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,0,0,0,0,0,0,,,area,1B,BODY AREA,60c8da6be862ba0f553829a7,1B,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,10,0,0,005,0,,,station,2B10005,2B10005,60f82694ca9d410ce02dceb9,2B10005,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,10,0,0,005,W,,,workstation,2B10005W,RH Trough Build CD539,60f82694ca9d410ce02dceba,2B10005W,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,10,0,0,010,0,,,station,2B10010,2B10010,60f82694ca9d410ce02dceb0,2B10010,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,10,0,0,010,W,,,workstation,2B10010W,7L-10 RH BSO Load CD539,60f82694ca9d410ce02dceb1,2B10010W,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,10,0,0,012,0,,,station,2B10012,2B10012,60f82694ca9d410ce02dceb2,2B10012,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,10,0,0,012,C,,,workstation,2B10012C,"7L-12 RH TT, GEO",60f82694ca9d410ce02dceb3,2B10012C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,10,0,0,015,0,,,station,2B10015,2B10015,60f82694ca9d410ce02dcebb,2B10015,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,10,0,0,015,W,,,workstation,2B10015W,RH Trough Build D47X,60f82694ca9d410ce02dcebc,2B10015W,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,10,0,0,020,0,,,station,2B10020,2B10020,60f82694ca9d410ce02dceb4,2B10020,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
